country_region,continent,population,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,critical_cases,total_cases_by_million_population,deaths_by_million_population,total_tests,tests_by_million_population,who_region
USA,North America,330965224,2424492,324,123476,3,1020412,31,1280604,16510,7326,373,29561082,89318,Americas
Brazil,South America,212529324,1151479,,52771,,613345,,485363,8318,5418,248,2678426,12603,Americas
Russia,Europe,145933426,599705,,8359,,356429,,234917,2300,4109,57,17522752,120074,Europe
India,Asia,1379715223,456552,437,14483,,258685,111,183384,8944,331,10,7352911,5329,South-EastAsia
UK,Europe,67879245,306210,,42927,,,,,330,4511,632,8309929,122422,Europe
Spain,Europe,46754479,293832,,28325,,,,,617,6285,606,5162909,110426,Europe
Peru,South America,32961088,260810,,8404,,148437,,103969,1144,7913,255,1539746,46714,Americas
Chile,South America,19112809,250767,,4505,,210570,,35692,2009,13120,236,995060,52062,Americas
Italy,Europe,60463214,238833,,34675,,184585,,19573,115,3950,573,5053827,83585,Europe
Iran,Asia,83968383,209970,,9863,,169160,,30947,2846,2501,117,1475331,17570,EasternMediterranean
Germany,Europe,83779137,192778,,8986,,175700,,8092,337,2301,107,5029696,60035,Europe
Mexico,North America,128903411,191410,6288,23377,793,144448,4330,23585,378,1485,181,501871,3893,Americas
Turkey,Asia,84319290,190165,,5001,,162848,,22316,893,2255,59,3029635,35931,Europe
Pakistan,Asia,220779366,188926,3892,3755,60,77754,4283,107417,3337,856,17,1150141,5209,EasternMediterranean
Saudi Arabia,Asia,34800695,164144,,1346,,109885,,52913,2122,4717,39,1407508,40445,EasternMediterranean
France,Europe,65270992,161267,,29720,,74871,,56676,682,2471,455,1384633,21214,Europe
Bangladesh,Asia,164654303,119198,,1545,,47635,,70018,1,724,9,647011,3930,South-EastAsia
South Africa,Africa,59291678,106108,,2102,,55045,,48961,208,1790,35,1382772,23322,Africa
Canada,North America,37735282,101963,,8454,,64704,,28805,2058,2702,224,2482869,65797,Americas
Qatar,Asia,2807805,89579,,99,,71501,,17979,225,31904,35,328941,117152,EasternMediterranean
Colombia,South America,50871101,73572,,2404,,30459,,40709,335,1446,47,634611,12475,Americas
Sweden,Europe,10098039,60837,,5161,,,,,193,6025,511,385659,38191,Europe
Belgium,Europe,11588689,60810,,9713,,16771,,34326,42,5247,838,1131883,97671,Europe
Belarus,Europe,9449373,59487,,357,,38688,,20442,89,6295,38,886248,93789,Europe
Egypt,Africa,102284138,58141,,2365,,15535,,40241,41,568,23,135000,1320,EasternMediterranean
Ecuador,South America,17636598,51643,,4274,,24991,,22378,273,2928,242,139333,7900,Americas
Netherlands,Europe,17134211,49722,,6095,,,,,48,2902,356,550350,32120,Europe
Indonesia,Asia,273460863,47896,,2535,,19241,,26120,,175,9,668219,2444,South-EastAsia
